commune	ipm	pov	vul	N_ipm	N_pov	N_vul	INIV	Niveau_de_vie_categorie	Rang
Ain Taoujdate	1.73	4.8	2.3	0.9365164043744999	0.9246575342465754	0.9631728045325779	0.9383	Bon	207
Fnideq	1.62	4.6	3.1	0.9423846359029074	0.9292237442922374	0.9405099150141643	0.9381	Bon	208
Laattaouia	1.68	4.7	2.7	0.9391837823419579	0.9269406392694064	0.9518413597733711	0.938	Bon	209
Targuist	1.66	4.7	2.9	0.9402507335289411	0.9269406392694064	0.9461756373937678	0.9374	Bon	210
Fam El Hisn	1.65	4.6	3.1	0.9407842091224327	0.9292237442922374	0.9405099150141643	0.9373	Bon	211
Annakhil	1.43	3.9	5.0	0.9525206721792479	0.9452054794520548	0.886685552407932	0.9372	Bon	212
El Guerdane	1.4	3.9	5.2	0.9541210989597226	0.9452054794520548	0.8810198300283286	0.9368	Bon	213
Rhafsai	1.03	2.8	8.3	0.9738596959189117	0.9703196347031964	0.7932011331444759	0.9367	Bon	214
Ain Erreggada	1.79	5.3	1.8	0.9333155508135503	0.91324200913242	0.9773371104815864	0.9361	Bon	215
Echemmaia	1.73	4.8	2.7	0.9365164043744999	0.9246575342465754	0.9518413597733711	0.936	Bon	216
Adis	1.2	3.3	7.1	0.9647906108295545	0.9589041095890412	0.8271954674220963	0.9355	Bon	217
Abaynou	1.66	4.5	3.5	0.9402507335289411	0.9315068493150684	0.9291784702549575	0.9354	Bon	218
Laaouama	1.75	4.8	2.8	0.9354494531875167	0.9246575342465754	0.9490084985835694	0.9349	Bon	219
Madagh	1.63	4.7	3.5	0.9418511603094158	0.9269406392694064	0.9291784702549575	0.9348	Bon	220
Oued Zem	1.45	4.0	5.2	0.9514537209922647	0.9429223744292238	0.8810198300283286	0.9348	Bon	220
Ain Tizgha	1.3	3.6	6.5	0.9594558548946386	0.952054794520548	0.8441926345609065	0.9342	Bon	222
Sidi Hammadi	1.64	4.8	3.5	0.9413176847159243	0.9246575342465754	0.9291784702549575	0.9339	Bon	223
Had Kourt	1.57	4.6	4.1	0.9450520138703654	0.9292237442922374	0.9121813031161473	0.9337	Bon	224
Zaouiat Cheikh	1.66	4.7	3.7	0.9402507335289411	0.9269406392694064	0.9235127478753541	0.9329	Bon	225
Nador	1.66	4.7	3.8	0.9402507335289411	0.9269406392694064	0.9206798866855525	0.9323	Bon	226
Jerada	1.72	5.0	3.2	0.9370498799679915	0.9200913242009132	0.9376770538243626	0.9321	Bon	227
El Ksiba	1.69	4.7	3.7	0.9386503067484663	0.9269406392694064	0.9235127478753541	0.9321	Bon	227
Sidi Moussa El Majdoub	1.3	3.5	7.0	0.9594558548946386	0.954337899543379	0.830028328611898	0.932	Bon	229
Tnine Aglou	1.57	4.4	4.7	0.9450520138703654	0.9337899543378996	0.8951841359773371	0.9317	Bon	230
Immouzzer-Kandar	1.45	4.2	5.5	0.9514537209922647	0.9383561643835616	0.8725212464589235	0.9317	Bon	230
Oued Essafa	1.65	4.6	4.1	0.9407842091224327	0.9292237442922374	0.9121813031161473	0.9316	Bon	232
Sidi Boumoussa	1.65	4.5	4.3	0.9407842091224327	0.9315068493150684	0.9065155807365439	0.9311	Bon	233
Lakhsas	1.69	4.7	3.9	0.9386503067484663	0.9269406392694064	0.9178470254957507	0.931	Bon	234
Sidi Bennour	1.79	5.0	3.1	0.9333155508135503	0.9200913242009132	0.9405099150141643	0.9308	Bon	235
Sidi Bouknadel	1.52	4.1	5.6	0.9477193918378234	0.9406392694063928	0.8696883852691218	0.93	Bon	236
Tameslohte	1.52	4.1	5.6	0.9477193918378234	0.9406392694063928	0.8696883852691218	0.93	Bon	236
Lkheng	1.92	5.4	2.2	0.9263803680981595	0.910958904109589	0.9660056657223796	0.9297	Bon	238
Chorfa M'daghra	1.16	2.9	9.0	0.9669245132035209	0.9680365296803652	0.773371104815864	0.9285	Bon	239
Zmamra	1.9	5.5	2.5	0.9274473192851427	0.908675799086758	0.9575070821529745	0.9278	Bon	240
Inchaden	1.63	4.6	4.9	0.9418511603094158	0.9292237442922374	0.8895184135977336	0.9276	Bon	241
Moulay Yacoub	1.54	4.1	6.0	0.9466524406508402	0.9406392694063928	0.858356940509915	0.9272	Bon	242
Ferkla El Oulia	1.32	3.3	8.0	0.9583889037076554	0.9589041095890412	0.8016997167138811	0.9272	Bon	242
Ouad Amlil	2.03	5.8	1.7	0.920512136569752	0.9018264840182648	0.9801699716713881	0.9268	Bon	244
Souk Sebt Ouled Nemma	1.8	5.1	3.7	0.9327820752200586	0.9178082191780822	0.9235127478753541	0.9264	Bon	245
Harbil	1.81	5.1	3.7	0.932248599626567	0.9178082191780822	0.9235127478753541	0.9262	Bon	246
Akhfennir	2.06	5.7	1.8	0.9189117097892772	0.9041095890410958	0.9773371104815864	0.9262	Bon	246
Ait Faska	1.56	4.3	6.0	0.945585489463857	0.9360730593607306	0.858356940509915	0.9253	Bon	248
Lahraouyine	1.55	4.2	6.2	0.9461189650573486	0.9383561643835616	0.8526912181303116	0.9251	Bon	249
