Libelle Arabe;commune;taux_vieillesse;commune_norm
?????;M'rirt;16.2;mrirt
??????;Aquermoud;16.2;aquermoud
?????;Tigouga;16.2;tigouga
????;Tlite;16.2;tlite
????;Lahdar;16.1;lahdar
??? ??????;Ain Sbit;16.1;ainsbit
????? ?????;Oulad Ftata;16.1;ouledftata
????? ????;Oulad Azzouz;16.1;ouledazzouz
?????? ?? ????;Fquih Ben Salah;16.1;fquihbensalah
??? ?????;Bni Hadifa;16.1;bnihadifa
??? ???? ????;Ait Youssef Ou Ali;16.1;aityoussefouali
????? ?????;Oulad Amghar;16.1;ouledamghar
???????;El Gouzate;16.1;elgouzate
??? ??????;Bab Marzouka;16.1;babmarzouka
??????;Atouabet;16.1;atouabet
????????;M'khalif;16.1;mkhalif
???? ??????;Sidi Laaroussi;16.1;sidilaaroussi
??? ?????;Ida Ou Moumen;16.1;idaoumoumen
??? ?????;Ahl Ramel;16.1;ahlramel
???? ???? ?? ???;Sidi Youssef Ben Ali;16.1;sidiyoussefbenali
?????;Azgour;16.1;azgour
???? ?????;Tizi N'test;16.1;tizintest
????;Adis;16.1;adis
????? ?????;Aquouass Briech;16.0;aquouassbriech
?????;Ahlaf;16.0;ahlaf
???????;Tabriquet;16.0;tabriquet
????? ????;Oulad Fennane;16.0;ouledfennane
??????;Tazroute;16.0;tazroute
??????;Tazouta;16.0;tazouta
????? ??????;Tidili Mesfioua;16.0;tidilimesfioua
?? ???????;Oum El Guerdane;16.0;oumelguerdane
???????;Lgharbia;15.9;lgharbia
????? ?????;Saniat Berguig;15.9;saniatberguig
????????;Ezzhiliga;15.9;ezzhiliga
????? ?????;Ouled M'hamed;15.9;ouledmhamed
??????;Taounza;15.9;taounza
?????;Ouannana;15.9;ouannana
????;Oudka;15.9;oudka
????? ??????;Rbaa El Fouki;15.9;rbaaelfouki
???????;Trougout;15.9;trougout
?????;Toulal;15.9;toulal
???????;Tigrigra;15.9;tigrigra
?? ??????;Oum Rabia;15.9;oumrabia
?????;Tiouli;15.9;tiouli
?? ?????;Had Dra;15.9;haddra
???? ???? ????????;Sidi Aissa Regragui;15.9;sidiaissaregragui
???;Mejji;15.9;mejji
????????;Talgjount;15.9;talgjount
???? ????;Sidi Ouassay;15.9;sidiouassay
??? ??????;Ida Ou Gailal;15.9;idaougailal
???? ???? ?? ??? ????;Sidi Ahmed Ou Abdallah;15.9;sidiahmedouabdallah
?????;Gmassa;15.9;gmassa
???? ??????;Talat N'yaaqoub;15.9;talatnyaaqoub
??? ????;Ait Zineb;15.9;aitzineb
?? ???????;Had Al Gharbia;15.8;hadelgharbia
???? ?????;Sidi Othmane;15.8;sidiothmane
????? ?? ?????;Oulad Si Bouhya;15.8;ouledsibouhya
???????;Ihaddadene;15.8;ihaddadene
??? ???????;Bni Bouifrour;15.8;bnibouifrour
??? ??????;Ain Chair;15.8;ainchair
??????;Meskala;15.8;meskala
????????;Taouloukoult;15.8;taouloukoult
?????;Anougal;15.8;anougal
??????;Ouazguita;15.8;ouazguita
??? ????;Sour El Aaz;15.8;sourelaaz
???????;Amerzgane;15.8;amerzgane
??????;Iznaguen;15.8;iznaguen
??????;Boukraa;15.7;boukraa
?????;Assilah;15.7;assilah
?????;Ayacha;15.7;ayacha
????;Asjen;15.7;asjen
???????;Boulaouane;15.7;boulaouane
???? ?????;Sidi Mansour;15.7;sidimansour
?????;Jahjouh;15.7;jahjouh
??? ????;Bni Ykhlef;15.7;bniykhlef
??? ????;Ouaoumana;15.7;ouaoumana
???????;Zrizer;15.7;zrizer
???????;Laaouinate;15.7;laaouinate
??? ????;Bni Drar;15.7;bnidrar
???????;Lagdadra;15.7;lagdadra
???? ?????;Assif El Mal;15.7;assifelmal
???? ????;Sidi Ifni;15.7;sidiifni
??????;Touizgui;15.7;touizgui
??????;Amizmiz;15.7;amizmiz
????? ?????;Ouled Salmane;15.6;ouledsalmane
?????;Azemmour;15.6;azemmour
????????;Ziaida;15.6;ziaida
??????;El Gara;15.6;elgara
????? ??? ???????;Oulad Ali Toualaa;15.6;ouledalitoualaa
??? ??????;Ait Ouikhalfen;15.6;aitouikhalfen
??????;Rfala;15.6;rfala
??? ???????;Had Bouhssoussen;15.6;hadbouhssoussen
??? ????;Ait Kamra;15.6;aitkamra
??????? ????????;Gzenaya Al Janoubia;15.6;gzenayaeljanoubia
??????;Msila;15.6;msila
???????;Nador;15.6;nador
???????;Essaouira;15.6;essaouira
?????;Nfifa;15.6;nfifa
????;Ighil;15.6;ighil
????? ???????;Moulay Brahim;15.6;moulaybrahim
??????;Al Kharroub;15.5;elkharroub
??? ???????-???? ???????;Ain Johra-Sidi Boukhalkhal;15.5;ainjohrasidiboukhalkhal
??? ??????;Ain Jemaa;15.5;ainjemaa
??????;Nekkour;15.5;nekkour
????;Lehri;15.5;lehri
??????;Amellagou;15.5;amellagou
??????;Lebkhata;15.5;lebkhata
????? ?? ??????;Zaouiat Ben Hmida;15.5;zaouiatbenhmida
