commune_norm	taux_jeunesse	taux_vieillesse	INIV	nb_atm	IEDU	Indice_accessibilite	indice_transport	indice_densite_routiere	Indice_POI	Indice_accessibilite_norm	indice_transport_norm	indice_densite_routiere_norm	Indice_POI_norm
adrej	19.5	24.9	0.6811		0.4576	0.69	0.0	1.35	0.07	0.012359137822753613	0.0	0.017914621061872162	0.0031557829722967433
afallaissen	33.0	15.2	0.3451		0.2094	1.1	0.0	2.15	0.15	0.022075813771610726	0.0	0.03091979061677028	0.0067623920834930205
afellaighir	19.4	27.9	0.7917		0.5171	1.46	0.0	2.77	0.4	0.030607529238899894	0.0	0.04099879702181632	0.01803304555598139
afellandra	32.7	14.5	0.6991		0.6071	0.33	0.0	0.57	0.22	0.0038274223554644465	0.0	0.005234580745846492	0.009918175055789763
aferkat	26.3	17.5	0.7923		0.6085	1.97	0.0	3.94	0.0	0.04269412615089288	0.0	0.060018857495854824	0.0
afourar	26.4	16.7	0.9385		0.8054	2.7	0.0	5.32	0.22	0.059994549181784824	0.0	0.08245277497805409	0.009918175055789763
afra	30.2	15.1	0.7101		0.5868	1.06	0.0	2.0	0.29	0.021127845386356373	0.0	0.028481321325226884	0.013073958028086505
afsou	28.2	17.5	0.4719		0.2337	0.35	0.0	0.65	0.11	0.004301406548091621	0.0	0.006535097701336305	0.0049590875278948815
agadir	22.9	13.4	0.9961	16.0	0.8225	52.0	100.0	30.71	33.24	1.0	1.0	0.4952043437266332	1.0
agadirmelloul	30.7	17.6	0.525		0.4251	1.7	0.0	3.33	0.18	0.036295339550426006	0.0	0.050102415710245006	0.008114870500191624
agafay	29.0	11.4	0.8518		0.6808	5.32	11.3	3.71	0.37	0.12208647841594489	0.2973371224081678	0.05627987124882161	0.016680567139282784
agdal	17.6	23.7	0.999	1.0	0.8455	44.29	5.77	45.12	100.0	1.0	0.15182612356594052	0.7294599603342355	1.0
agdalriyad	15.9	25.9	1.0	13.0	0.7307	46.25	38.46	58.0	28.57	1.0	1.0	0.9388431901680954	1.0
agdz	32.1	10.3	0.9569		0.704	7.02	0.24	13.18	1.8	0.16237513478925483	0.006315124723713297	0.21022856585492813	0.08114870500191625
aghbal	24.2	18.4	0.8135		0.6391	2.58	0.24	4.77	0.62	0.05715064402602176	0.006315124723713297	0.07351172090906162	0.02795122061177115
aghbala	28.2	14.4	0.5896		0.4969	1.36	0.0	2.6	0.29	0.028237608275764017	0.0	0.038235198491400474	0.013073958028086505
aghbalou	28.4	11.9	0.7849		0.6027	1.54	0.0	3.03	0.11	0.0325034660094086	0.0	0.04522547712715821	0.0049590875278948815
aghbalouaqorar	27.2	15.1	0.7028		0.3773	1.81	0.0	3.5	0.29	0.038902252609875475	0.0	0.052866014240660855	0.013073958028086505
aghbalounkerdous	32.8	12.8	0.7385		0.6136	1.94	0.0	3.81	0.15	0.04198314986195212	0.0	0.05790551744318388	0.0067623920834930205
aghbar	29.1	15.3	0.0317		0.2575	0.36	0.0	0.64	0.18	0.00453839864440521	0.0	0.006372533081900078	0.008114870500191624
aghouatim	30.0	11.8	0.8258		0.5752	5.54	12.02	3.34	1.32	0.1273003045348438	0.3162824965793076	0.050264980329681234	0.059509050334738585
aghouinite	0.0	0.0	0.8624		0.5494						0.0		0.0
aglif	31.4	19.7	0.2409		0.4025	2.11	0.0	4.21	0.04	0.04601201549928311	0.0	0.06440810222063294	0.0018033045555981388
agoudim	28.9	15.4	0.6137		0.4252	1.7	0.0	3.3	0.26	0.036295339550426006	0.0	0.04961472185193633	0.011721479611387902
agoudinlkhair	31.5	12.1	0.405		0.3995	0.67	0.0	1.32	0.04	0.011885153630126441	0.0	0.017426927203563484	0.0018033045555981388
agourai	26.8	14.0	0.906		0.6917	5.42	0.0	10.81	0.07	0.12445639937908076	0.0	0.17170075104854246	0.0031557829722967433
