ï»¿libelle_arabe,commune,densite,densite_norm,commune_norm
??? ????,Ksar Bjir,17182.0,0.0302637168547168,ksarbjir
??? ??????,Sid Zouine,17128.0,0.0301685313045884,sidzouine
???????,Lamjaara,17088.0,0.0300980234896785,lamjaara
??? ?????,Bni Tadjite,17087.0,0.0300962607943057,bnitadjite
???? ????? ?? ????,Sidi M'hamed Ben Lahcen,16980.0,0.0299076523894217,sidimhamedbenlahcen
??? ????,Ait Yaazem,16912.0,0.0297877891040748,aityaazem
???????,Boufakrane,16890.0,0.0297490098058743,boufakrane
???????,Tamazouzte,16885.0,0.0297401963290106,tamazouzte
??????,Zirara,16829.0,0.0296414853881367,zirara
??? ????,Bni Hilal,16765.0,0.0295286728842808,bnihilal
?? ?????,Khatazakane,16691.0,0.0293982334266974,khatazakane
?????,Ketama,16688.0,0.0293929453405791,ketama
??? ?????,Bni Mansour,16660.0,0.0293435898701422,bnimansour
??? ???????-???? ???????,Ain Johra-Sidi Boukhalkhal,16644.0,0.0293153867441782,ainjohrasidiboukhalkhal
???????,Mtalssa,16594.0,0.0292272519755408,mtalssa
????? ??????,Ksar Sghir,16559.0,0.0291655576374946,ksarsghir
????,Anzou,16554.0,0.0291567441606309,anzou
??? ????,Bni Rzine,16539.0,0.0291303037300396,bnirzine
???? ?????,Sidi Lamine,16501.0,0.0290633213058752,sidilamine
