commune_norm	commune	taux_jeunesse	taux_vieillesse	INIV	nb_atm	IEDU	Indice_accessibilite_x	Indice_accessibilite_y	Indice_transport	indice_densite_routiere_x	Indice_POI_x	densite_norm	Indice_POI_y	indice_densite_routiere_y	indice_transport	Indice_accessibilite	densite
aithadi	Ait Hadi	29.5	13.3	0.7622		0.5571	3.2	3.2	0.0	6.35	0.11	0.0155663628367409	0.11	6.35	0.0	3.2	8844.0
aithammou	Ait Hammou	30.3	13.9	0.6471		0.3415	0.84	0.84	0.0	1.66	0.04	0.0126473392994696	0.04	1.66	0.0	0.84	7188.0
aithani	Ait Hani	34.3	12.3	0.652		0.4387	1.26	1.26	0.0	2.2	0.81	0.0195782575051162	0.81	2.2	0.0	1.26	11120.0
aitharzallah	Ait Harz Allah	28.3	12.8	0.7439		0.5276	3.74	3.74	0.0	7.48	0.0	0.0239567928110231	0.0	7.48	0.0	3.74	13604.0
aithkimaityzid	Ait Hkim-Ait Yzid	31.3	10.6	0.7088		0.4756	1.18	1.18	0.0	2.35	0.04	0.0142619682609071	0.04	2.35	0.0	1.18	8104.0
aitiaaza	Ait Iaaza	26.4	10.6	0.9649		0.771	7.36	7.36	0.0	14.48	0.59	0.0304523252596009	0.59	14.48	0.0	7.36	17289.0
aitichou	Ait Ichou	24.5	17.1	0.0289		0.2767	0.98	0.98	0.0	1.93	0.07	0.0025400440321304	0.07	1.93	0.0	0.98	1454.0
aitigas	Ait Igas	28.4	13.4	0.8202		0.635	0.26	0.26	0.0	0.5	0.04	0.0182703375385369	0.04	0.5	0.0	0.26	10378.0
aitikkou	Ait Ikkou	24.0	20.2	0.2308		0.2874	1.58	1.58	0.0	3.13	0.07	0.0143941704138632	0.07	3.13	0.0	1.58	8179.0
aitimour	Ait Imour	28.3	13.6	0.7786		0.581	2.42	2.42	4.33	2.2	0.11	0.025708912011535	0.11	2.2	4.33	2.42	14598.0
aitishaq	Ait Ishaq	23.8	17.7	0.8193		0.5725	1.85	1.85	0.0	3.63	0.18	0.031425333105358	0.18	3.63	0.0	1.85	17841.0
aitissafen	Ait Issafen	16.1	34.2	0.6302		0.1966	2.2	2.2	0.0	4.38	0.07	0.004070063615676	0.07	4.38	0.0	2.2	2322.0
aitizdeg	Ait Izdeg	30.8	13.3	0.7413		0.625	0.9	0.9	0.0	1.68	0.29	0.012721372505125	0.29	1.68	0.0	0.9	7230.0
aitkamra	Ait Kamra	27.9	15.6	0.8791		0.6302	2.34	2.34	0.0	4.6	0.18	0.0131285551362299	0.18	4.6	0.0	2.34	7461.0
aitmait	Ait Mait	23.8	20.7	0.6971		0.4189	1.26	1.26	0.0	2.48	0.11	0.0082529397352079	0.11	2.48	0.0	1.26	4695.0
aitmajden	Ait Majden	29.4	13.7	0.6148		0.5021	0.2	0.2	0.0	0.41	0.0	0.0324952891966163	0.0	0.41	0.0	0.2	18448.0
aitmakhlouf	Ait Makhlouf	23.8	18.8	0.5499		0.3398	0.7	0.7	0.0	1.41	0.0	0.0072658303264688	0.0	1.41	0.0	0.7	4135.0
aitmalek	Ait Malek	26.4	15.0	0.5872		0.4856	1.78	1.78	0.0	3.5	0.15	0.0066911916349528	0.15	3.5	0.0	1.78	3809.0
aitmazigh	Ait Mazigh	30.1	16.9	0.3814		0.535	2.34	2.34	0.0	4.65	0.07	0.0048509376658035	0.07	4.65	0.0	2.34	2765.0
aitmelloul	Ait Melloul	26.6	10.5	0.9841		0.7874	29.54	29.54	36.06	35.32	5.29	0.3709892070162326	5.29	35.32	36.06	29.54	210480.0
aitmhamed	Ait M'hamed	33.7	11.1	0.2383		0.3356	0.97	0.97	0.0	1.9	0.11	0.0414550697762963	0.11	1.9	0.0	0.97	23531.0
aitmilk	Ait Milk	23.8	20.7	0.7913		0.5087	3.82	3.82	0.0	7.64	0.0	0.0151415532519085	0.0	7.64	0.0	3.82	8603.0
aitmimoune	Ait Mimoune	26.3	17.0	0.4568		0.5257	3.1	3.1	0.0	6.2	0.0	0.012427002377876	0.0	6.2	0.0	3.1	7063.0
aitmzal	Ait Mzal	20.7	25.4	0.7078		0.4433	7.24	7.24	0.48	14.17	0.07	0.0055560158149028	0.07	14.17	0.48	7.24	3165.0
aitnaamane	Ait Naamane	27.1	13.8	0.7757		0.5618	3.16	3.16	0.0	6.32	0.0	0.0103011917583415	0.0	6.32	0.0	3.16	5857.0
aitouaarda	Ait Ouaarda	29.7	16.6	0.6822		0.6139	3.73	3.73	0.0	7.45	0.04	0.0025488575089941	0.04	7.45	0.0	3.73	1459.0
aitouabelli	Ait Ouabelli	23.0	21.1	0.6738		0.5912	0.24	0.24	0.0	0.46	0.07	0.0037386768855993	0.07	0.46	0.0	0.24	2134.0
aitouadrim	Ait Ouadrim	23.1	24.4	0.6409		0.2738	2.42	2.42	0.0	4.82	0.04	0.0087041897506314	0.04	4.82	0.0	2.42	4951.0
aitouafqa	Ait Ouafqa	19.1	31.0	0.7152		0.3525	1.82	1.82	0.0	3.59	0.11	0.0057111330077047	0.11	3.59	0.0	1.82	3253.0
aitouallal	Ait Ouallal	65.4	22.5	0.8607		0.6614	14.93	14.93	0.96	28.1	2.94	0.0542980682621409	2.94	28.1	0.96	14.93	30830.0
aitouassif	Ait Ouassif	31.8	13.1	0.8389		0.524	1.43	1.43	0.0	2.59	0.66	0.0156386333470236	0.66	2.59	0.0	1.43	8885.0
aitouikhalfen	Ait Ouikhalfen	26.6	15.6	0.6291		0.4429	2.02	2.02	0.0	4.03	0.0	0.0057252345706867	0.0	4.03	0.0	2.02	3261.0
